Value 1,Value 2,Value 3,Value 4
282,88,8388607,-231951
-1462,631,8388607,-232008
-2961,1202,8388607,-231874
-3892,1696,8388607,-231701
-4171,2109,8388607,-231566
-4036,2441,8388607,-231636
-3401,2611,8388607,-231462
-2263,2638,8388607,-231672
-492,2410,8388607,-231809
1619,1931,8388607,-231541
3573,1486,8388607,-231459
5388,964,8388607,-231850
6963,345,8388607,-231772
8023,-180,8388607,-231726
8335,-590,8388607,-231613
8164,-921,8388607,-231469
7612,-1081,8388607,-231395
6348,-1056,8388607,-231684
4381,-819,8388607,-231643
2210,-472,8388607,-231830
318,9,8388607,-232061
-1360,532,8388607,-232246
-2782,1104,8388607,-232162
-3725,1591,8388607,-232141
-4017,2013,8388607,-232011
-3866,2276,8388607,-232023
-3334,2496,8388607,-232059
-2249,2483,8388607,-232160
-417,2273,8388607,-232094
1691,1893,8388607,-232227
3627,1447,8388607,-232134
5411,935,8388607,-232394
6934,336,8388607,-232734
7928,-188,8388607,-232774
8303,-621,8388607,-232631
8200,-901,8388607,-232709
7744,-1121,8388607,-232750
6629,-1169,8388607,-232752
4861,-904,8388607,-232619
2758,-511,8388607,-232386
693,-44,8388607,-232366
-1061,475,8388607,-232657
-2570,1075,8388607,-232686
-3599,1609,8388607,-232500
-3934,2033,8388607,-232129
-3736,2296,8388607,-232056
-3239,2481,8388607,-231987
-2133,2495,8388607,-231943
-387,2267,8388607,-231799
1726,1876,8388607,-231996
3729,1402,8388607,-231936
5458,910,8388607,-232091
6969,383,8388607,-232387
7963,-157,8388607,-232673
8360,-570,8388607,-232720
8279,-880,8388607,-232930
7824,-1139,8388607,-233057
6706,-1208,8388607,-233144
4934,-964,8388607,-233222
2815,-547,8388607,-233073
786,-60,8388607,-232793
-964,441,8388607,-232794
-2490,1028,8388607,-232856
-3598,1588,8388607,-232916
-3894,1968,8388607,-232746
-3691,2198,8388607,-232603
-3291,2424,8388607,-232334
-2225,2513,8388607,-232455
-456,2288,8388607,-232238
1672,1926,8388607,-232087
3694,1432,8388607,-231802
5422,944,8388607,-231414
6938,338,8388607,-231311
8014,-222,8388607,-231554
8406,-647,8388607,-231545
8327,-967,8388607,-231524
7797,-1129,8388607,-231920
6737,-1170,8388607,-232491
4971,-952,8388607,-232539
2831,-574,8388607,-232336
861,-99,8388607,-232260
-920,421,8388607,-232394
-2481,1015,8388607,-232362
-3512,1586,8388607,-232132
-3956,1989,8388607,-231950
-3786,2246,8388607,-231912
-3324,2469,8388607,-231740
-2264,2534,8388607,-231594
-548,2344,8388607,-231422
1549,1928,8388607,-231726
3533,1436,8388607,-231797
5280,991,8388607,-231596
6829,379,8388607,-231452
7881,-191,8388607,-231675
8363,-672,8388607,-231919
8319,-1006,8388607,-232210
7859,-1227,8388607,-232174
6759,-1279,8388607,-232315
4971,-1047,8388607,-232269
2777,-586,8388607,-232505
775,-23,8388607,-232443
-852,492,8388607,-232434
-2463,1052,8388607,-232241
-3712,1564,8388607,-232264
-4134,1979,8388607,-232150
-3958,2239,8388607,-231623
-3439,2438,8388607,-231237
-2361,2481,8388607,-231159
-685,2296,8388607,-231035
1436,1945,8388607,-231081
3363,1478,8388607,-230787
5047,976,8388607,-230778
6647,409,8388607,-230945
7753,-101,8388607,-230942
8208,-544,8388607,-231040
8057,-835,8388607,-231288
7628,-1067,8388607,-231287
6631,-1147,8388607,-231356
4908,-973,8388607,-231388
2813,-568,8388607,-231523
791,-105,8388607,-231576
-1021,403,8388607,-231991
-2649,1005,8388607,-232106
-3712,1573,8388607,-232222
-4148,2008,8388607,-232163
-4056,2278,8388607,-231921
-3662,2499,8388607,-231684
-2639,2539,8388607,-231736
-949,2391,8388607,-231870
1181,1979,8388607,-231891
3193,1540,8388607,-231478
4923,1069,8388607,-231319
6453,438,8388607,-231500
7576,-104,8388607,-231860
8076,-531,8388607,-231943
7973,-784,8388607,-232235
7594,-1045,8388607,-232369
6590,-1172,8388607,-232471
4889,-962,8388607,-232441
2756,-539,8388607,-232685
702,-64,8388607,-232739
-1102,442,8388607,-232661
-2719,1066,8388607,-232544
-3824,1596,8388607,-232564
-4276,2013,8388607,-232487
-4204,2295,8388607,-232352
-3752,2506,8388607,-232136
-2777,2545,8388607,-232079
-1063,2381,8388607,-232114
1043,1994,8388607,-232302
2997,1576,8388607,-232129
4771,1083,8388607,-232209
6326,486,8388607,-232009
7417,-19,8388607,-231921
7852,-500,8388607,-231894
7846,-819,8388607,-232013
7439,-1007,8388607,-232399
6467,-1121,8388607,-232899
4844,-947,8388607,-233014
2741,-549,8388607,-233332
678,-124,8388607,-233397
-1149,378,8388607,-233757
-2787,1020,8388607,-233899
-3905,1536,8388607,-233679
-4449,1961,8388607,-233359
-4376,2256,8388607,-233081
-3943,2458,8388607,-232973
