Value 1,Value 2,Value 3,Value 4
-537,-151,8388607,-233100
-2229,409,8388607,-232890
-3525,989,8388607,-232686
-4151,1476,8388607,-232715
-4169,1805,8388607,-232621
-3946,2036,8388607,-232514
-3176,2186,8388607,-232636
-1709,2096,8388607,-232795
287,1774,8388607,-232592
2326,1318,8388607,-232749
4222,866,8388607,-233079
5921,301,8388607,-233296
7156,-252,8388607,-233142
7904,-734,8388607,-233357
8015,-1081,8388607,-233221
7726,-1344,8388607,-233161
6963,-1496,8388607,-233086
5521,-1397,8388607,-232994
3462,-1089,8388607,-232728
1351,-631,8388607,-232637
-554,-90,8388607,-232544
-2222,463,8388607,-232688
-3526,985,8388607,-232634
-4173,1427,8388607,-232505
-4265,1779,8388607,-232270
-4027,2011,8388607,-232236
-3247,2180,8388607,-231961
-1796,2104,8388607,-231879
115,1794,8388607,-231706
2161,1353,8388607,-231759
4016,860,8388607,-231599
5720,326,8388607,-231766
7050,-242,8388607,-231924
7767,-712,8388607,-232140
7894,-1057,8388607,-232380
7709,-1326,8388607,-232376
6933,-1473,8388607,-232343
5516,-1381,8388607,-232854
3509,-1076,8388607,-232994
1398,-616,8388607,-233105
-506,-157,8388607,-233174
-2217,416,8388607,-233209
-3524,1003,8388607,-233026
-4242,1498,8388607,-232907
-4409,1850,8388607,-232702
-4169,2085,8388607,-232587
-3411,2266,8388607,-232412
-1958,2202,8388607,-232350
53,1851,8388607,-232148
2149,1403,8388607,-231839
4003,937,8388607,-231488
5663,423,8388607,-231492
6999,-160,8388607,-231472
7739,-636,8388607,-231434
7898,-985,8388607,-231478
7711,-1258,8388607,-231806
6979,-1457,8388607,-232028
5515,-1381,8388607,-232290
3498,-1040,8388607,-232417
1316,-602,8388607,-232551
-519,-137,8388607,-232540
-2222,453,8388607,-232656
-3644,1079,8388607,-232574
-4331,1509,8388607,-232347
-4429,1844,8388607,-232238
-4182,2083,8388607,-232449
-3382,2246,8388607,-232574
-1869,2189,8388607,-232650
118,1875,8388607,-232512
2078,1456,8388607,-232461
3838,1019,8388607,-232600
5443,501,8388607,-232711
6706,-103,8388607,-232600
7460,-619,8388607,-232378
7636,-968,8388607,-232256
7539,-1208,8388607,-232152
6918,-1382,8388607,-232164
5519,-1347,8388607,-232626
3540,-1079,8388607,-233041
1404,-632,8388607,-233339
-471,-149,8388607,-233296
-2212,417,8388607,-233396
-3578,1011,8388607,-233266
-4333,1519,8388607,-232922
-4547,1908,8388607,-232699
-4294,2142,8388607,-232594
-3567,2261,8388607,-232081
-2221,2232,8388607,-231728
-292,1944,8388607,-231225
1811,1546,8388607,-231088
3719,1063,8388607,-231388
5396,506,8388607,-231627
6811,-109,8388607,-231655
7619,-604,8388607,-232010
7789,-943,8388607,-232262
7610,-1226,8388607,-232324
6918,-1370,8388607,-232498
5526,-1277,8388607,-232849
3541,-1011,8388607,-233017
1414,-596,8388607,-233056
-542,-73,8388607,-233020
-2232,453,8388607,-232942
-3616,1030,8388607,-232977
-4437,1531,8388607,-233166
-4617,1903,8388607,-232906
-4381,2171,8388607,-232747
-3680,2293,8388607,-232379
-2327,2269,8388607,-232172
-406,1989,8388607,-232073
1661,1566,8388607,-232142
3529,1098,8388607,-232007
5261,559,8388607,-232104
6664,-66,8388607,-232348
7468,-547,8388607,-232529
7676,-934,8388607,-232291
7555,-1254,8388607,-232239
6893,-1376,8388607,-232282
5559,-1290,8388607,-232307
3526,-994,8388607,-232227
1434,-599,8388607,-232452
-481,-129,8388607,-232412
-2201,434,8388607,-232172
-3597,1051,8388607,-232165
-4419,1524,8388607,-232514
-4584,1908,8388607,-232348
-4366,2167,8388607,-232147
-3694,2342,8388607,-231826
-2369,2297,8388607,-231993
-453,2028,8388607,-232322
1662,1587,8388607,-232349
3546,1139,8388607,-232214
5237,603,8388607,-232241
6627,21,8388607,-232178
7448,-457,8388607,-232302
7681,-847,8388607,-232257
7515,-1128,8388607,-232291
6856,-1311,8388607,-232452
5551,-1286,8388607,-232677
3609,-1025,8388607,-232759
1496,-613,8388607,-232457
-427,-110,8388607,-232361
-2153,437,8388607,-232659
-3557,1017,8388607,-232647
-4363,1534,8388607,-232657
-4493,1864,8388607,-232622
-4267,2105,8388607,-232504
-3641,2324,8388607,-232194
-2427,2330,8388607,-231982
-487,2051,8388607,-231727
1647,1574,8388607,-231786
3501,1106,8388607,-231744
5201,581,8388607,-231803
6670,3,8388607,-231542
7516,-527,8388607,-231363
7733,-897,8388607,-231271
7582,-1201,8388607,-231417
7020,-1380,8388607,-231445
5707,-1358,8388607,-231537
3711,-1086,8388607,-231507
1613,-678,8388607,-231256
-331,-214,8388607,-231225
-2097,326,8388607,-231361
-3514,947,8388607,-231332
-4365,1421,8388607,-231625
-4559,1804,8388607,-231831
-4359,2053,8388607,-231827
-3694,2226,8388607,-231459
-2390,2234,8388607,-231456
-470,1974,8388607,-231435
1624,1546,8388607,-231448
3489,1128,8388607,-231356
5241,572,8388607,-231541
6563,-12,8388607,-231579
7393,-547,8388607,-231693
7720,-953,8388607,-231695
7619,-1194,8388607,-231770
7000,-1387,8388607,-231753
5741,-1352,8388607,-232006
3836,-1118,8388607,-232026
1654,-662,8388607,-231927
-341,-194,8388607,-231852
-2019,331,8388607,-232089
-3471,921,8388607,-232182
-4367,1420,8388607,-232051
-4651,1846,8388607,-231814
-4472,2082,8388607,-231699
-3847,2243,8388607,-231406
-2552,2214,8388607,-231357
-651,1948,8388607,-231002
1471,1536,8388607,-230888
3333,1086,8388607,-231234
5049,591,8388607,-231724
6502,-17,8388607,-231649
7467,-551,8388607,-231879
7768,-932,8388607,-231955
7624,-1224,8388607,-232112
7032,-1436,8388607,-232186
5753,-1428,8388607,-232594
3817,-1131,8388607,-232926
1661,-694,8388607,-233161
-312,-222,8388607,-233031
-2045,315,8388607,-233062
-3528,904,8388607,-232922
-4471,1437,8388607,-232926
-4666,1813,8388607,-233012
-4396,2038,8388607,-233069
-3798,2187,8388607,-232692
-2559,2209,8388607,-232462
-686,1965,8388607,-232026
1448,1524,8388607,-231808
3321,1084,8388607,-231667
5018,606,8388607,-231712
6509,9,8388607,-231751
7456,-520,8388607,-232087
7799,-904,8388607,-232216
7608,-1211,8388607,-232231
7078,-1455,8388607,-232146
5851,-1437,8388607,-232084
3963,-1184,8388607,-231973
1724,-792,8388607,-231884
-207,-311,8388607,-231899
-1947,244,8388607,-232204
-3428,859,8388607,-232128
-4419,1408,8388607,-231922
-4701,1798,8388607,-231994
-4474,2030,8388607,-232097
-3882,2209,8388607,-232137
-2609,2229,8388607,-232394
-776,1982,8388607,-232050
1279,1584,8388607,-231683
3261,1131,8388607,-231554
4969,586,8388607,-231898
6489,-12,8388607,-231934
7420,-521,8388607,-232131
7722,-943,8388607,-232102
7562,-1227,8388607,-232037
6973,-1397,8388607,-231954
5782,-1407,8388607,-232124
3955,-1191,8388607,-232203
1838,-778,8388607,-232398
-131,-284,8388607,-232640
-1904,221,8388607,-232896
-3358,830,8388607,-232794
-4240,1360,8388607,-232908
-4526,1808,8388607,-232758
-4458,2101,8388607,-232707
-3912,2273,8388607,-232755
-2750,2276,8388607,-232917
-1057,2039,8388607,-233053
989,1593,8388607,-233122
2976,1171,8388607,-233046
4808,651,8388607,-233093
6313,85,8388607,-232908
7284,-458,8388607,-232965
7646,-871,8388607,-232777
7535,-1181,8388607,-232855
7029,-1376,8388607,-233291
5883,-1409,8388607,-233510
3990,-1149,8388607,-233304
1781,-721,8388607,-233229
-179,-261,8388607,-233147
-1915,256,8388607,-233109
-3409,874,8388607,-232811
-4430,1456,8388607,-232566
-4778,1797,8388607,-232254
-4594,2041,8388607,-232039
-4014,2213,8388607,-231881
-2839,2263,8388607,-231886
-1020,2032,8388607,-231843
1036,1638,8388607,-231977
2966,1161,8388607,-232044
4691,660,8388607,-232196
6228,80,8388607,-231947
7261,-456,8388607,-232185
7671,-889,8388607,-232237
7613,-1177,8388607,-232191
7054,-1366,8388607,-232190
5851,-1372,8388607,-232271
4009,-1132,8388607,-232064
1886,-714,8388607,-232142
-56,-281,8388607,-232342
-1805,278,8388607,-232613
-3314,886,8388607,-232793
-4322,1404,8388607,-233040
-4682,1840,8388607,-233000
-4499,2109,8388607,-232972
-3959,2288,8388607,-232676
-2802,2311,8388607,-232591
-1016,2076,8388607,-232216
1020,1682,8388607,-232069
2999,1199,8388607,-232041
4752,701,8388607,-232015
6281,155,8388607,-231717
7286,-333,8388607,-231761
7684,-804,8388607,-231924
7587,-1124,8388607,-231951
7058,-1339,8388607,-231999
5942,-1379,8388607,-232396
4136,-1136,8388607,-232678
1998,-717,8388607,-233087
43,-269,8388607,-233027
-1713,259,8388607,-232942
-3237,841,8388607,-232924
-4214,1339,8388607,-232855
-4616,1798,8388607,-232965
-4485,2027,8388607,-233265
-3963,2205,8388607,-233209
-2867,2269,8388607,-233156
-1107,2065,8388607,-232989
1011,1676,8388607,-233129
2858,1227,8388607,-233002
4600,723,8388607,-232659
6188,154,8388607,-232226
7223,-402,8388607,-232399
7623,-827,8388607,-232376
7579,-1144,8388607,-232372
7127,-1408,8388607,-232182
6004,-1397,8388607,-232218
4160,-1206,8388607,-232137
2036,-747,8388607,-232352
69,-300,8388607,-232449
-1671,169,8388607,-232671
-3224,738,8388607,-232909
-4281,1316,8388607,-232911
-4652,1768,8388607,-232797
-4533,2047,8388607,-232693
-4016,2216,8388607,-232511
-2967,2278,8388607,-232424
-1145,2063,8388607,-232358
999,1672,8388607,-232296
2944,1209,8388607,-232176
4666,709,8388607,-232358
6230,129,8388607,-232480
7309,-421,8388607,-232619
7714,-831,8388607,-232693
7648,-1133,8388607,-232979
7231,-1311,8388607,-232907
6148,-1407,8388607,-232701
4355,-1251,8388607,-232596
2221,-814,8388607,-232682
187,-310,8388607,-232649
-1609,227,8388607,-232817
-3196,792,8388607,-232754
-4249,1312,8388607,-232580
-4624,1738,8388607,-232413
-4455,2004,8388607,-232168
-4060,2233,8388607,-231895
-3021,2291,8388607,-232018
-1263,2064,8388607,-231803
885,1690,8388607,-231602
2894,1281,8388607,-231679
4634,771,8388607,-232149
6218,167,8388607,-232207
7316,-389,8388607,-232401
7813,-855,8388607,-232568
7701,-1166,8388607,-232892
7228,-1407,8388607,-232944
6221,-1502,8388607,-232877
4565,-1321,8388607,-232574
2391,-871,8388607,-232391
439,-402,8388607,-232389
-1291,76,8388607,-232472
-2911,653,8388607,-232433
-4008,1238,8388607,-232642
-4434,1645,8388607,-232409
-4297,1916,8388607,-232477
-3754,2133,8388607,-232275
-2614,2154,8388607,-232106
-932,2011,8388607,-231867
1211,1646,8388607,-231878
3207,1199,8388607,-231582
4999,695,8388607,-231078
6631,55,8388607,-230881
7676,-446,8388607,-230904
8118,-873,8388607,-230915
8078,-1169,8388607,-230946
7620,-1396,8388607,-231043
6519,-1449,8388607,-231332
4840,-1256,8388607,-231644
2739,-896,8388607,-231964
739,-446,8388607,-231978
-1072,58,8388607,-232016
-2669,681,8388607,-231815
-3749,1258,8388607,-231854
-4164,1655,8388607,-231820
-4128,1909,8388607,-231789
-3694,2114,8388607,-231511
-2554,2165,8388607,-231460
-836,1974,8388607,-231335
1302,1573,8388607,-230961
3354,1106,8388607,-230891
5179,613,8388607,-231011
6793,10,8388607,-231068
7979,-569,8388607,-231404
8473,-982,8388607,-231703
8408,-1244,8388607,-231955
8018,-1488,8388607,-232104
7054,-1582,8388607,-232390
5411,-1441,8388607,-232396
3279,-1055,8388607,-232439
1222,-569,8388607,-232456
-624,-101,8388607,-232654
-2305,513,8388607,-232976
-3492,1109,8388607,-233104
-3946,1529,8388607,-232964
-3854,1772,8388607,-232751
-3332,1954,8388607,-232348
-2232,2011,8388607,-232436
-527,1803,8388607,-232167
1593,1360,8388607,-232267
3556,859,8388607,-232266
5337,376,8388607,-232149
6986,-186,8388607,-231851
8093,-692,8388607,-231752
8477,-1120,8388607,-231772
8346,-1417,8388607,-231975
7844,-1657,8388607,-231979
6852,-1743,8388607,-231943
5209,-1557,8388607,-231956
3186,-1184,8388607,-232056
1160,-722,8388607,-231989
-581,-254,8388607,-231939
-2140,302,8388607,-231822
-3355,846,8388607,-231628
-3916,1276,8388607,-231502
-3881,1578,8388607,-231736
-3608,1829,8388607,-231984
-2633,1929,8388607,-232250
-918,1776,8388607,-232376
1151,1458,8388607,-232427
3104,1040,8388607,-232179
4731,602,8388607,-232217
6319,34,8388607,-232181
7471,-552,8388607,-232350
7951,-946,8388607,-232401
7845,-1214,8388607,-232807
7368,-1381,8388607,-233207
6379,-1427,8388607,-233315
4678,-1218,8388607,-233207
2538,-732,8388607,-233393
411,-171,8388607,-233459
-1429,375,8388607,-233408
-3131,1053,8388607,-233389
-4322,1636,8388607,-233609
-4795,2043,8388607,-233696
-4763,2349,8388607,-233802
-4376,2523,8388607,-233839
-3384,2546,8388607,-233724
-1840,2406,8388607,-233251
209,2069,8388607,-233214
2219,1625,8388607,-233056
4027,1132,8388607,-233027
5713,536,8388607,-233099
6904,-62,8388607,-232829
7437,-496,8388607,-232644
7430,-819,8388607,-232501
7088,-1092,8388607,-232187
6093,-1217,8388607,-232218
4451,-1034,8388607,-232217
2330,-681,8388607,-232385
303,-236,8388607,-232456
-1521,226,8388607,-232699
-3156,815,8388607,-232721
-4338,1359,8388607,-232645
-4899,1841,8388607,-232572
-4897,2159,8388607,-232722
-4519,2373,8388607,-232788
-3526,2463,8388607,-232995
-1888,2298,8388607,-232966
142,1920,8388607,-232938
2206,1434,8388607,-232807
4023,986,8388607,-232767
5633,422,8388607,-232619
6791,-165,8388607,-232372
7353,-605,8388607,-232021
7383,-932,8388607,-232137
7060,-1183,8388607,-232236
6123,-1288,8388607,-232062
4528,-1144,8388607,-231903
2414,-762,8388607,-231999
408,-318,8388607,-232071
-1416,190,8388607,-232177
-3042,748,8388607,-232271
-4232,1299,8388607,-232342
-4819,1779,8388607,-232083
-4769,2080,8388607,-232022
-4391,2311,8388607,-232056
-3423,2409,8388607,-232005
-1857,2296,8388607,-231834
227,1931,8388607,-231839
2252,1461,8388607,-231747
4009,958,8388607,-231791
5667,392,8388607,-231496
6847,-171,8388607,-231344
7419,-623,8388607,-231279
7438,-931,8388607,-231744
7146,-1186,8388607,-231907
6254,-1319,8388607,-232141
4654,-1166,8388607,-232506
2524,-819,8388607,-232547
471,-356,8388607,-232494
-1363,107,8388607,-232329
-3031,714,8388607,-232409
-4272,1293,8388607,-232818
-4836,1756,8388607,-232596
-4816,2038,8388607,-232281
-4444,2257,8388607,-232128
-3494,2354,8388607,-232037
-1942,2197,8388607,-231579
84,1859,8388607,-231245
2103,1426,8388607,-231065
3881,937,8388607,-231167
5522,369,8388607,-231317
6671,-238,8388607,-231519
7167,-693,8388607,-231566
7140,-1043,8388607,-231727
6790,-1342,8388607,-231754
5888,-1551,8388607,-231853
4201,-1500,8388607,-232027
2030,-1139,8388607,-232233
-102,-638,8388607,-232212
-1962,-127,8388607,-232411
-3661,492,8388607,-232567
-5020,1093,8388607,-232574
-5655,1630,8388607,-232399
-5760,1976,8388607,-232234
-5358,2176,8388607,-232266
-4297,2254,8388607,-232509
-2760,2101,8388607,-232291
-684,1635,8388607,-232214
1511,1028,8388607,-232126
3548,504,8388607,-232179
5495,-148,8388607,-232220
6996,-891,8388607,-232251
7871,-1631,8388607,-232106
8407,-2281,8388607,-232216
8758,-2899,8388607,-232308
8501,-3412,8388607,-232777
7834,-3663,8388607,-232985
7043,-3719,8388607,-233126
6091,-3815,8388607,-232877
5338,-3867,8388607,-232922
4721,-3925,8388607,-232717
4509,-3958,8388607,-232525
4696,-3944,8388607,-232378
5096,-3896,8388607,-232426
6238,-4038,8388607,-231982
8302,-4413,8388607,-231767
10953,-4911,8388607,-231746
14110,-5493,8388607,-231834
17010,-5917,8388607,-231522
19481,-6136,8388607,-231341
22194,-6276,8388607,-231232
23731,-6226,8388607,-231444
22944,-5925,8388607,-231698
21386,-5513,8388607,-232064
19737,-5107,8388607,-231896
17521,-4597,8388607,-232274
14879,-4029,8388607,-232471
11431,-3352,8388607,-232440
7628,-2201,8388607,-232408
4121,-944,8388607,-232492
911,453,8388607,-232509
-1737,1859,8388607,-232618
-3540,2984,8388607,-232441
-4618,3936,8388607,-232462
-5269,4793,8388607,-232554
-5092,5371,8388607,-232698
-4441,5734,8388607,-232416
-3268,5984,8388607,-232172
-1859,5924,8388607,-231845
-517,5402,8388607,-231855
1161,4418,8388607,-231904
2624,3331,8388607,-232099
3433,2509,8388607,-232471
3734,1924,8388607,-232526
3800,1431,8388607,-232523
3384,1016,8388607,-232795
2209,835,8388607,-232984
463,892,8388607,-233047
-1342,1077,8388607,-232745
-2871,1406,8388607,-232327
-4265,1881,8388607,-232104
-5266,2324,8388607,-231984
-5666,2614,8388607,-231889
-5597,2743,8388607,-232049
-5261,2821,8388607,-231865
-4380,2840,8388607,-231684
-2882,2695,8388607,-231298
-959,2333,8388607,-231257
1127,1879,8388607,-231317
2960,1396,8388607,-231238
4663,886,8388607,-231067
5983,277,8388607,-231093
6755,-225,8388607,-231151
6963,-526,8388607,-231532
6805,-769,8388607,-231674
6034,-932,8388607,-231999
4510,-833,8388607,-232099
2448,-494,8388607,-232287
245,-10,8388607,-232195
-1719,499,8388607,-232387
-3351,999,8388607,-232466
-4508,1558,8388607,-232343
-5131,2044,8388607,-232024
-5262,2360,8388607,-231931
-4971,2568,8388607,-231729
-4117,2684,8388607,-231652
-2611,2588,8388607,-231756
-599,2294,8388607,-232041
1483,1831,8388607,-231991
3375,1352,8388607,-232123
5033,807,8388607,-232311
6333,180,8388607,-232584
7054,-312,8388607,-232532
7204,-678,8388607,-232769
7018,-959,8388607,-232809
6268,-1129,8388607,-232728
4751,-1035,8388607,-232816
2709,-705,8388607,-233017
633,-276,8388607,-232686
-1237,173,8388607,-232589
-2972,754,8388607,-232463
-4293,1349,8388607,-232364
-4964,1813,8388607,-232315
-5014,2161,8388607,-232280
-4702,2359,8388607,-231946
-3902,2468,8388607,-231922
-2408,2373,8388607,-232136
-415,2083,8388607,-232589
1673,1629,8388607,-232976
3561,1144,8388607,-233281
5255,595,8388607,-233412
6566,35,8388607,-233850
7341,-484,8388607,-233935
7407,-806,8388607,-233889
7214,-1052,8388607,-233348
6476,-1262,8388607,-233249
5067,-1204,8388607,-233485
3074,-881,8388607,-233624
961,-464,8388607,-233665
-892,46,8388607,-233604
-2606,630,8388607,-233273
-3944,1205,8388607,-233118
-4642,1665,8388607,-233206
-4759,1988,8388607,-233356
-4506,2249,8388607,-233452
-3725,2414,8388607,-233515
-2347,2312,8388607,-233225
-351,1994,8388607,-232926
1788,1582,8388607,-232749
3649,1113,8388607,-232907
5313,556,8388607,-232896
6619,3,8388607,-233142
7374,-507,8388607,-233387
7548,-905,8388607,-233532
7404,-1191,8388607,-233684
6698,-1347,8388607,-233961
5309,-1264,8388607,-233882
3277,-944,8388607,-233763
1133,-532,8388607,-233669
-743,-47,8388607,-233791
-2407,507,8388607,-233724
-3737,1083,8388607,-233800
-4534,1571,8388607,-233817
-4675,1921,8388607,-234037
-4375,2155,8388607,-233840
-3657,2294,8388607,-233570
-2281,2219,8388607,-232976
-247,1896,8388607,-232586
1886,1513,8388607,-232352
3783,1094,8388607,-232279
5454,543,8388607,-232189
6814,-72,8388607,-232494
7593,-594,8388607,-232744
7769,-978,8388607,-232892
7599,-1224,8388607,-232769
6901,-1365,8388607,-233002
5528,-1346,8388607,-233304
3511,-1055,8388607,-233441
1379,-599,8388607,-233228
-544,-138,8388607,-233151
-2216,394,8388607,-232997
-3597,991,8388607,-232836
-4366,1504,8388607,-232796
-4497,1858,8388607,-232768
-4226,2033,8388607,-232376
-3504,2194,8388607,-231926
-2137,2159,8388607,-231789
-146,1853,8388607,-231775
1908,1411,8388607,-231597
3744,923,8388607,-231640
5482,382,8388607,-231615
6836,-193,8388607,-231721
7609,-683,8388607,-231652
7887,-1044,8388607,-231586
7720,-1314,8388607,-231380
7063,-1528,8388607,-231422
5701,-1481,8388607,-231310
3671,-1197,8388607,-231312
1559,-757,8388607,-231001
-339,-279,8388607,-230865
-2040,234,8388607,-230741
-3474,829,8388607,-230848
-4315,1319,8388607,-230757
-4437,1699,8388607,-230881
-4172,1909,8388607,-230921
-3517,2073,8388607,-230811
-2156,2055,8388607,-230537
-206,1753,8388607,-230647
1903,1326,8388607,-230924
3743,867,8388607,-231022
5451,356,8388607,-230848
6895,-246,8388607,-231029
7735,-779,8388607,-231010
8036,-1172,8388607,-231098
7828,-1436,8388607,-231240
7156,-1615,8388607,-231724
5811,-1597,8388607,-232005
3852,-1303,8388607,-232123
1676,-870,8388607,-232307
-234,-421,8388607,-232160
-1941,134,8388607,-232217
-3337,712,8388607,-232173
-4169,1226,8388607,-231849
-4372,1578,8388607,-231605
-4189,1850,8388607,-231666
-3571,2026,8388607,-231785
-2308,2028,8388607,-231806
-359,1730,8388607,-231671
1806,1263,8388607,-231222
3658,777,8388607,-231257
5401,267,8388607,-231336
6817,-346,8388607,-231273
7694,-822,8388607,-231212
7890,-1197,8388607,-231356
7726,-1485,8388607,-231250
7115,-1701,8388607,-231241
5809,-1666,8388607,-231309
3811,-1362,8388607,-231672
1683,-961,8388607,-231971
-252,-484,8388607,-232284
-2011,81,8388607,-232268
-3413,679,8388607,-232397
-4317,1181,8388607,-232504
-4555,1565,8388607,-232540
-4290,1779,8388607,-232154
-3599,1942,8388607,-232080
-2319,1961,8388607,-231781
-406,1698,8388607,-231826
1673,1249,8388607,-231969
3539,804,8388607,-232023
5194,309,8388607,-232016
6618,-321,8388607,-232097
7511,-814,8388607,-232170
7783,-1214,8388607,-232536
7604,-1512,8388607,-232425
7024,-1706,8388607,-232309
5741,-1693,8388607,-232141
3804,-1441,8388607,-232274
1591,-985,8388607,-232066
-355,-536,8388607,-231821
-2114,26,8388607,-231711
-3602,676,8388607,-231724
-4434,1183,8388607,-231587
-4646,1559,8388607,-231457
-4517,1826,8388607,-231377
-3867,2016,8388607,-231420
-2561,1998,8388607,-231236
-676,1724,8388607,-230995
1409,1313,8388607,-230914
3274,866,8388607,-231081
4929,371,8388607,-230812
6496,-281,8388607,-230736
7466,-801,8388607,-230724
7798,-1145,8388607,-231192
7666,-1428,8388607,-231376
6974,-1610,8388607,-231617
5648,-1587,8388607,-231792
3596,-1282,8388607,-232162
1358,-865,8388607,-232030
-574,-388,8388607,-232006
-2299,165,8388607,-231779
-3782,818,8388607,-231803
-4679,1312,8388607,-231651
-4862,1663,8388607,-231292
-4655,1929,8388607,-230753
-4026,2158,8388607,-230696
-2823,2172,8388607,-230516
-941,1903,8388607,-230458
1184,1479,8388607,-230454
3052,1054,8388607,-230871
4834,509,8388607,-231157
6278,-102,8388607,-231404
7243,-626,8388607,-231676
7499,-975,8388607,-231966
7327,-1196,8388607,-231877
6774,-1395,8388607,-231717
5536,-1392,8388607,-231749
3626,-1120,8388607,-232200
1463,-679,8388607,-232271
-484,-183,8388607,-232339
-2212,327,8388607,-231913
-3716,916,8388607,-231962
-4628,1488,8388607,-232243
-4841,1868,8388607,-232331
-4647,2065,8388607,-232114
-4062,2273,8388607,-232161
-2826,2293,8388607,-232164
-921,2069,8388607,-232318
1219,1673,8388607,-232173
3178,1244,8388607,-232344
4903,714,8388607,-232329
6393,70,8388607,-232310
7331,-454,8388607,-232104
7666,-864,8388607,-232062
7533,-1155,8388607,-231849
7027,-1371,8388607,-232074
5903,-1389,8388607,-232297
4048,-1124,8388607,-232621
1914,-714,8388607,-232552
-51,-193,8388607,-232748
-1815,348,8388607,-232747
-3326,924,8388607,-232988
-4176,1433,8388607,-233060
-4456,1839,8388607,-232683
-4301,2078,8388607,-232181
-3636,2253,8388607,-232136
-2412,2237,8388607,-232041
-590,2023,8388607,-232047
1548,1582,8388607,-232033
3496,1140,8388607,-232014
5279,629,8388607,-232132
6750,29,8388607,-232270
7743,-490,8388607,-232304
8083,-912,8388607,-232252
7979,-1177,8388607,-232206
7462,-1409,8388607,-232294
6260,-1433,8388607,-232172
4433,-1164,8388607,-231981
2349,-759,8388607,-231875
368,-311,8388607,-231762
-1406,219,8388607,-231651
-2881,808,8388607,-231794
-3860,1376,8388607,-231966
-4226,1809,8388607,-231961
-4076,2051,8388607,-231682
-3486,2236,8388607,-231514
-2301,2258,8388607,-231383
-477,2009,8388607,-231177
1658,1579,8388607,-231066
3559,1185,8388607,-231261
5281,663,8388607,-231188
6820,35,8388607,-231322
7816,-511,8388607,-231215
8165,-888,8388607,-231321
8038,-1162,8388607,-231426
7559,-1352,8388607,-231918
6448,-1361,8388607,-232137
4546,-1119,8388607,-232362
2359,-724,8388607,-232411
313,-212,8388607,-232307
-1410,303,8388607,-232248
-2883,889,8388607,-232163
-3814,1426,8388607,-232142
-4207,1845,8388607,-232206
-4163,2137,8388607,-231936
-3680,2318,8388607,-232003
-2517,2324,8388607,-231832
-661,2129,8388607,-231717
1472,1755,8388607,-231677
3431,1243,8388607,-231739
5131,740,8388607,-231436
6580,173,8388607,-231444
7638,-356,8388607,-231536
8006,-812,8388607,-231704
7894,-1080,8388607,-231952
7406,-1281,8388607,-232127
6281,-1320,8388607,-231986
4484,-1098,8388607,-232207
2294,-674,8388607,-232385
307,-179,8388607,-232357
-1482,341,8388607,-232099
-3043,971,8388607,-232032
-4060,1456,8388607,-231744
-4425,1846,8388607,-231641
-4231,2149,8388607,-231536
-3749,2378,8388607,-231354
-2631,2418,8388607,-231250
-811,2218,8388607,-231260
1286,1791,8388607,-231336
3273,1280,8388607,-231366
5021,758,8388607,-231199
6494,189,8388607,-231259
7534,-351,8388607,-231264
7933,-769,8388607,-231523
7805,-1059,8388607,-231594
7324,-1261,8388607,-231796
6252,-1327,8388607,-232191
4459,-1124,8388607,-232497
2336,-711,8388607,-232644
322,-248,8388607,-232689
-1427,286,8388607,-232227
-2998,871,8388607,-231988
-4005,1390,8388607,-231755
-4297,1805,8388607,-231816
-4210,2087,8388607,-231872
-3679,2228,8388607,-231780
-2579,2280,8388607,-231548
-779,2118,8388607,-231550
1336,1714,8388607,-231483
3308,1241,8388607,-231367
5020,700,8388607,-231459
6613,103,8388607,-231594
7683,-433,8388607,-231543
8079,-866,8388607,-231885
8032,-1170,8388607,-231980
7558,-1376,8388607,-232082
6464,-1449,8388607,-231980
4663,-1224,8388607,-231972
2527,-831,8388607,-232124
558,-367,8388607,-232228
-1201,151,8388607,-232247
-2785,705,8388607,-232115
-3811,1259,8388607,-231834
-4199,1702,8388607,-231700
-4088,1980,8388607,-231817
-3594,2169,8388607,-232011
-2493,2196,8388607,-231796
-780,2006,8388607,-231732
1329,1614,8388607,-231731
3328,1163,8388607,-231745
5093,674,8388607,-231743
6631,69,8388607,-232046
7688,-494,8388607,-232181
8104,-904,8388607,-232279
8081,-1151,8388607,-231952
7672,-1411,8388607,-231687
6642,-1490,8388607,-231782
4890,-1309,8388607,-232052
2682,-888,8388607,-231881
671,-417,8388607,-231697
-1094,110,8388607,-231652
-2663,683,8388607,-231718
-3747,1234,8388607,-231721
-4179,1678,8388607,-231852
-4056,1927,8388607,-232011
-3547,2118,8388607,-232034
-2506,2212,8388607,-232056
-820,2008,8388607,-232389
1329,1601,8388607,-232652
3309,1159,8388607,-232934
5101,703,8388607,-233029
6789,75,8388607,-233046
7834,-497,8388607,-233245
8171,-900,8388607,-233322
8089,-1174,8388607,-233037
7579,-1434,8388607,-232975
6421,-1531,8388607,-232864
4701,-1294,8388607,-232851
2637,-921,8388607,-232691
696,-435,8388607,-232667
-1005,55,8388607,-232517
-2599,617,8388607,-232415
-3712,1188,8388607,-232262
-4124,1623,8388607,-232134
-4111,1899,8388607,-231611
-3662,2149,8388607,-231176
-2609,2221,8388607,-230901
-904,2032,8388607,-230897
1219,1607,8388607,-230925
3208,1156,8388607,-231091
4966,696,8388607,-231233
